Date,Close,Open,High,Low
2017.01.02,1011.32,996.73,1031.49,990.01
2017.01.03,1035.51,1011.43,1038.42,1000.15
2017.01.04,1114.35,1035.51,1139.70,1028.56
2017.01.05,1004.73,1114.35,1136.51,885.55
2017.01.06,893.89,1004.73,1026.95,871.02
2017.01.07,903.94,894.02,907.00,812.50
2017.01.08,909.68,903.94,941.43,881.21
2017.01.09,894.91,909.76,911.10,875.00
2017.01.10,903.46,894.91,911.99,889.34
2017.01.11,777.62,904.08,918.17,756.69
2017.01.01,996.68,966.34,1004.87,960.53
2017.01.12,805.89,777.57,832.74,751.34
2017.01.13,825.84,805.64,831.39,775.07
2017.01.14,817.23,825.89,837.75,810.00
2017.01.15,821.85,818.27,823.35,808.00
2017.01.16,830.43,821.86,834.40,818.08
2017.01.17,905.95,830.43,908.50,827.00
2017.01.18,886.68,905.95,915.59,851.72
2017.01.19,901.01,886.68,909.98,878.64
2017.01.20,895.65,901.02,902.43,880.00
2017.01.21,921.90,895.65,927.94,895.00
2017.01.22,922.39,921.91,937.53,886.76
2017.01.23,913.15,922.39,927.14,913.15
2017.01.24,884.18,913.15,922.72,881.48
2017.01.25,893.25,884.34,903.38,884.34
2017.01.26,914.30,893.25,919.15,892.85
2017.01.27,916.55,914.30,924.05,908.02
2017.01.28,917.04,917.02,920.71,913.13
2017.01.29,912.01,917.10,919.72,910.46
2017.01.30,910.61,912.01,913.37,910.30
2017.01.31,963.01,919.75,969.52,917.50
2017.02.01,983.67,963.02,986.15,962.00
2017.02.02,1008.21,983.76,1011.00,973.12
2017.02.03,1015.02,1008.24,1022.00,987.01
2017.02.04,1033.17,1015.05,1043.63,1004.00
2017.02.05,1010.03,1033.17,1034.00,1004.82
2017.02.06,1023.51,1010.03,1031.60,1005.10
2017.02.07,1051.03,1023.52,1056.01,1021.30
2017.02.08,1050.44,1051.03,1069.87,1025.00
2017.02.09,985.11,1051.70,1074.25,931.11
2017.02.10,995.43,985.18,1010.67,950.00
2017.02.11,1011.01,995.42,1019.00,988.93
2017.02.12,999.51,1011.01,1011.01,992.93
2017.02.13,1000.18,999.51,1007.53,975.11
2017.02.14,1008.27,1000.18,1018.39,987.97
2017.02.15,1010.74,1008.35,1013.00,1000.97
2017.02.16,1032.70,1010.74,1043.00,1010.74
2017.02.17,1054.77,1032.70,1063.23,1031.98
2017.02.18,1055.00,1053.82,1068.59,1046.14
2017.02.19,1050.64,1056.00,1061.72,1039.07
2017.02.20,1083.99,1050.64,1089.43,1044.05
2017.02.21,1124.62,1083.99,1126.84,1077.01
2017.02.22,1130.02,1124.63,1142.67,1098.45
2017.02.23,1183.51,1130.02,1193.45,1120.73
2017.02.24,1180.31,1183.53,1220.00,1092.00
2017.02.25,1151.79,1180.14,1183.23,1127.00
2017.02.26,1179.05,1151.79,1184.26,1133.33
2017.02.27,1194.50,1179.05,1196.69,1169.00
2017.02.28,1191.16,1194.51,1209.90,1176.25
2017.03.01,1226.39,1191.16,1230.90,1188.31
2017.03.02,1256.20,1225.40,1281.19,1215.00
2017.03.03,1285.33,1256.20,1294.41,1254.74
2017.03.04,1259.73,1285.33,1287.35,1230.00
2017.03.05,1268.14,1259.01,1275.00,1240.00
2017.03.06,1278.12,1269.98,1284.95,1251.00
2017.03.07,1233.04,1278.13,1279.01,1175.97
2017.03.08,1149.34,1233.05,1245.49,1145.50
2017.03.09,1189.19,1149.34,1206.98,1135.01
2017.03.10,1240.62,1189.18,1344.42,1170.01
2017.03.11,1176.64,1111.51,1197.00,1106.00
2017.03.12,1226.01,1176.56,1241.00,1170.90
2017.03.13,1241.35,1226.00,1249.00,1215.07
2017.03.14,1245.69,1241.35,1259.00,1226.50
2017.03.15,1255.90,1245.69,1259.97,1242.03
2017.03.16,1172.00,1255.91,1258.65,1130.00
2017.03.17,1068.16,1172.00,1172.00,1064.06
2017.03.18,967.35,1068.16,1098.98,944.30
2017.03.19,1012.77,968.66,1061.00,968.66
